Player_ID,Year Group,Race,Vote Percentage,WAR,Induction Hall Of Fame,Group 1 White Vote Percentage,Group 1 Non-White Vote Percentage,Group 2 White Vote Percentage,Group 2 Non-White Vote Percentage,Group 3 White Vote Percentage,Group 3 Non-White Vote Percentage
1,Group 3,White,97.20,85.2,1,97,,,,,
2,Group 3,Non-White,92.90,59.4,1,92,,,,,
3,Group 3,White,89.80,72.9,1,89,,,,,
4,Group 3,White,79.90,28,1,79,,,,,
5,Group 3,Non-White,70.40,68.4,0,70,,,,,
6,Group 3,White,63.50,83,0,63,,,,,
7,Group 3,White,57.30,139.6,0,57,,,,,
8,Group 3,Non-White,56.40,162.8,0,56,,,,,
9,Group 3,White,51.20,79.6,0,51,,,,,
10,Group 3,Non-White,37.00,45.6,0,37,,,,,
11,Group 3,White,34.10,72.7,0,34,,,,,
12,Group 3,Non-White,23.20,52.6,0,23,,,,,
13,Group 3,Non-White,22.00,69.4,0,22,,,,,
14,Group 3,White,14.50,55.4,0,14,,,,,
15,Group 3,White,11.10,27.7,0,11,,,,,
16,Group 3,Non-White,11.10,60.5,0,11,,,,,
17,Group 3,White,10.20,70.2,0,10,,,,,
18,Group 3,Non-White,7.80,58.6,0,7,,,,,
19,Group 3,Non-White,7.30,62.8,0,7,,,,,
20,Group 3,White,2.40,49.9,0,2,,,,,
21,Group 3,Non-White,2.40,51.6,0,2,,,,,
22,Group 3,White,1.90,56.4,0,1,,,,,
23,Group 3,Non-White,0.90,21.2,0,0,,,,,
24,Group 3,White,0.50,34.1,0,0,,,,,
25,Group 3,White,0.50,27.6,0,0,,,,,
26,Group 3,Non-White,0.20,28.3,0,0,,,,,
27,Group 3,Non-White,0.20,30.2,0,0,,,,,
28,Group 3,Non-White,0.00,44,0,0,,,,,
29,Group 3,White,0.00,7.9,0,0,,,,,
30,Group 3,White,0.00,29.8,0,0,,,,,
31,Group 3,White,0.00,20.4,0,0,,,,,
32,Group 3,Non-White,0.00,30.9,0,0,,,,,
33,Group 3,White,0.00,13,0,0,,,,,
34,Group 3,White,86.20,79.9,1,86,,,,,
